Antecedents,Consequents,Support,Confidence,Lift,Clinical Pattern Observation
"Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed","Admission_Emergency, Med_Metformin_Prescribed",0.0225,0.3082,3.194,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Admission_Emergency, Med_Metformin_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Glyburide_Prescribed","Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed",0.0225,0.3082,3.194,"Encounters with 'Med_Change_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Diabetes","A1C_High (>7/8), DiabetesMed_Yes",0.021,0.3387,3.1804,"Encounters with 'Med_Insulin_Prescribed, Diag1_Diabetes' frequently exhibit 'A1C_High (>7/8), DiabetesMed_Yes' (Lift: 3.18x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), DiabetesMed_Yes","Med_Insulin_Prescribed, Diag1_Diabetes",0.021,0.1972,3.1804,"Encounters with 'A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, Diag1_Diabetes' (Lift: 3.18x baseline). Note: Association does not imply causation."
"Med_Glipizide_Prescribed, Med_Insulin_Prescribed","Med_Change_Yes, Diag1_Circulatory",0.0215,0.4216,3.1343,"Encounters with 'Med_Glipizide_Prescribed, Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, Diag1_Circulatory' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Med_Glipizide_Prescribed, DiabetesMed_Yes, Med_Insulin_Prescribed","Diag1_Circulatory, Med_Change_Yes",0.0215,0.4216,3.1343,"Encounters with 'Med_Glipizide_Prescribed, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Med_Glipizide_Prescribed, Med_Insulin_Prescribed","Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes",0.0215,0.4216,3.1343,"Encounters with 'Med_Glipizide_Prescribed, Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Circulatory","Med_Glipizide_Prescribed, Med_Insulin_Prescribed",0.0215,0.1599,3.1343,"Encounters with 'Med_Change_Yes, Diag1_Circulatory' frequently exhibit 'Med_Glipizide_Prescribed, Med_Insulin_Prescribed' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes","Med_Glipizide_Prescribed, Med_Insulin_Prescribed",0.0215,0.1599,3.1343,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'Med_Glipizide_Prescribed, Med_Insulin_Prescribed' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes","Med_Glipizide_Prescribed, DiabetesMed_Yes, Med_Insulin_Prescribed",0.0215,0.1599,3.1343,"Encounters with 'Diag1_Circulatory, Med_Change_Yes' frequently exhibit 'Med_Glipizide_Prescribed, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 3.13x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Readmitted_30d","DiabetesMed_Yes, High_Prior_Utilization",0.0255,0.2833,2.9982,"Encounters with 'Med_Insulin_Prescribed, Readmitted_30d' frequently exhibit 'DiabetesMed_Yes, High_Prior_Utilization' (Lift: 3.00x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Prior_Utilization","Med_Insulin_Prescribed, Readmitted_30d",0.0255,0.2698,2.9982,"Encounters with 'DiabetesMed_Yes, High_Prior_Utilization' frequently exhibit 'Med_Insulin_Prescribed, Readmitted_30d' (Lift: 3.00x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Med_Change_Yes, Stay_Long (>=7 days)",0.022,0.3411,2.992,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days)' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Med_Change_Yes, Stay_Long (>=7 days)",0.022,0.3411,2.992,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days)' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)",0.022,0.3411,2.992,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.193,2.992,"Encounters with 'Med_Change_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.193,2.992,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.193,2.992,"Encounters with 'Med_Change_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.99x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","DiabetesMed_Yes, Stay_Long (>=7 days)",0.022,0.5,2.8736,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.87x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.1264,2.8736,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.87x baseline). Note: Association does not imply causation."
Med_Glyburide_Prescribed,"Med_Change_Yes, Admission_Emergency, Med_Metformin_Prescribed",0.0225,0.2217,2.8603,"Encounters with 'Med_Glyburide_Prescribed' frequently exhibit 'Med_Change_Yes, Admission_Emergency, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Glyburide_Prescribed","Admission_Emergency, Med_Change_Yes, Med_Metformin_Prescribed",0.0225,0.2217,2.8603,"Encounters with 'DiabetesMed_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
Med_Glyburide_Prescribed,"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",0.0225,0.2217,2.8603,"Encounters with 'Med_Glyburide_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency, Med_Metformin_Prescribed",Med_Glyburide_Prescribed,0.0225,0.2903,2.8603,"Encounters with 'Med_Change_Yes, Admission_Emergency, Med_Metformin_Prescribed' frequently exhibit 'Med_Glyburide_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed",Med_Glyburide_Prescribed,0.0225,0.2903,2.8603,"Encounters with 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Glyburide_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, Med_Metformin_Prescribed","DiabetesMed_Yes, Med_Glyburide_Prescribed",0.0225,0.2903,2.8603,"Encounters with 'Admission_Emergency, Med_Change_Yes, Med_Metformin_Prescribed' frequently exhibit 'DiabetesMed_Yes, Med_Glyburide_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.022,0.2588,2.8599,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed","Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.022,0.2431,2.8599,"Encounters with 'Med_Change_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0245,0.5385,2.8566,"Encounters with 'Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0245,0.5385,2.8566,"Encounters with 'Admission_Emergency, Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0245,0.5385,2.8566,"Encounters with 'Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed",0.0245,0.13,2.8566,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed",0.0245,0.13,2.8566,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed",0.0245,0.13,2.8566,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 2.86x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency, Med_Glyburide_Prescribed",Med_Metformin_Prescribed,0.0225,0.5488,2.8508,"Encounters with 'Med_Change_Yes, Admission_Emergency, Med_Glyburide_Prescribed' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed",Med_Metformin_Prescribed,0.0225,0.5488,2.8508,"Encounters with 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Med_Metformin_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, Med_Glyburide_Prescribed","DiabetesMed_Yes, Med_Metformin_Prescribed",0.0225,0.5488,2.8508,"Encounters with 'Admission_Emergency, Med_Change_Yes, Med_Glyburide_Prescribed' frequently exhibit 'DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Med_Change_Yes, Admission_Emergency, Med_Glyburide_Prescribed",0.0225,0.1169,2.8508,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Admission_Emergency, Med_Glyburide_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Med_Metformin_Prescribed","Admission_Emergency, Med_Change_Yes, Med_Glyburide_Prescribed",0.0225,0.1169,2.8508,"Encounters with 'DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, Med_Glyburide_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
Med_Metformin_Prescribed,"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed",0.0225,0.1169,2.8508,"Encounters with 'Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed' (Lift: 2.85x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Diabetes",A1C_High (>7/8),0.021,0.3387,2.8226,"Encounters with 'Med_Insulin_Prescribed, Diag1_Diabetes' frequently exhibit 'A1C_High (>7/8)' (Lift: 2.82x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes",A1C_High (>7/8),0.021,0.3387,2.8226,"Encounters with 'Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes' frequently exhibit 'A1C_High (>7/8)' (Lift: 2.82x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Insulin_Prescribed, Diag1_Diabetes",0.021,0.175,2.8226,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Insulin_Prescribed, Diag1_Diabetes' (Lift: 2.82x baseline). Note: Association does not imply causation."
A1C_High (>7/8),"Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes",0.021,0.175,2.8226,"Encounters with 'A1C_High (>7/8)' frequently exhibit 'Med_Insulin_Prescribed, Diag1_Diabetes, DiabetesMed_Yes' (Lift: 2.82x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.022,0.5301,2.8123,"Encounters with 'Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.022,0.5301,2.8123,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.022,0.5301,2.8123,"Encounters with 'Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.022,0.1167,2.8123,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.022,0.1167,2.8123,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Diag1_Circulatory, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed",0.022,0.1167,2.8123,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days), Med_Insulin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Stay_Long (>=7 days), Med_Metformin_Prescribed",0.0225,0.1194,2.8086,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Stay_Long (>=7 days), Med_Metformin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Stay_Long (>=7 days), Med_Metformin_Prescribed",0.0225,0.1194,2.8086,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Stay_Long (>=7 days), Med_Metformin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed",0.0225,0.1194,2.8086,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Stay_Long (>=7 days), Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0225,0.5294,2.8086,"Encounters with 'Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0225,0.5294,2.8086,"Encounters with 'DiabetesMed_Yes, Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Stay_Long (>=7 days), Med_Metformin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0225,0.5294,2.8086,"Encounters with 'Stay_Long (>=7 days), Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.81x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.03,0.3529,2.79,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 2.79x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.03,0.2372,2.79,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.79x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days)","Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.4231,2.7473,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.75x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days)",0.022,0.1429,2.7473,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.75x baseline). Note: Association does not imply causation."
